score,text
0, Wtf extra mins CHECRY 
-1, What the hell guys t co b yyMWmZxi 
0, HAHAHAHAHHAHAHA t co ABODByNZeG 
-1, don t do this to me Another two goals and don t concede Please 
-2, Frustrating results ManUtd while seeing ChelseaFC losing ground On to the next game GGMU 
0, Iceberg t co Q wV wFMtv 
1, GOAL n n CFC CPFC n nBenteke turns it around n n It s incredible how the game has turned on it s head n n CHECRY u 
0, Please Replace Matic with any of these ud d ude f t co rsSIV qP p 
0, in action at the Bridge as we enter into the final minutes It remains to Palace n nCOME ON CHE u 
2, HOW ARE TWO OF THE BEST PREMIER LEAGUE STRIKERS MISSING THESE CHANCES CHECRY 
0, Unfair t co g QBJWFc 
0, SCORRRREE 
0, My prediction for CHECRY ud d udd ud d udd ud d udd ComeOnBlues COYB t co naQl LOqW 
-2, Is this April Fool joke t co rxVMWA yv 
0, Oggi non sar u e vagile ber il Gelsi di Gonde n CHECRY 
-1, Slight bump in the road towards the title
-1, Don t fuck this up 
-1, Goal FABREGAS nAssist HAZARD n nChelsea Palace mins FPL CHECRY 
0, L 
0, Should fucking be like up by now t co wOfkO E TS 
0, CHECRY Quel match de Mamadou Sakho Tacle salvateur devant Michy d u e gagement in extremis devant la ligne I u 
0, TAMO VIVO PORRA t co S DQk k M 
0, Yessssssss you beauties cpfc 
0, The hand ball not called on Townsend CPFC CHECRY t co VyS Ocmwkr 
-1, The hash tag CHECRY means chelsea cry 
0, wheres the dam goals 
0, We did not deserve to drop points at home today chelseafc 
0, u c u u d u u u u e u b u CHECRY 
0, CHECRY Auteur d un match titanesque
0, Palha assada t co mCZEN bPTO 
-1, UNBELIEVABLE CHECRY t co WHBYaKrAQR 
1, Over minutes of exciting football CHECRY 
-2, Chelsea lost on April Fools Day Hell no t co ImZpC IfIr 
1, CHECRY u c NORME sensation Po u e par un u e norme Sakho
-2, OK April Fool joke is over
0, FT Chelsea CrystalPalace gt CHECRY hashtag says it all cos they ve been beaten by Crystal Palace at their home EPL 
0, GOAL Chelsea Crystal Palace mins Cesc Fabregas finishes off a fine piece of Eden Hazard wing play with a close r u 
0, I DON T BELIEVE IT I CAN T BELIEVE IT cpfc checry ud d udd ud d udd ud d udd ud d udd ud d udd ud d udd ud d udd ud d udd 
0, Quand Benteke manque de couoisie
-1, Disappointing CHECRY 
0, An itibariyle biz ud d ude n CHECRY n t co TFTGEZ Are 
0, BOA PALACE Sonho vivo COYS t co OHDD NV nb 
0, OMFG CPFC 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
0, CESC EQUALISES n n CHEPAL n n t co nGAj fFa 
0, you can do it men of Chelsea
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
0, Madting t co dqyWXCMYrw 
0, Chelsea vs Palace n n CHECRY t co WyRRn IyG 
-1, Foul by C u e sar Azpilicueta Chelsea t co MFGFunauAY CHECRY 
0, Antonio Conte s plan without Victor Moses could be a CFC CHECRY t co NvNyqvv i 
0, Zaha puts palace level CPFC t co dsIrRqzUfq 
0, Rasa kagum apabila dikaitkan dengan Barcelona tapi saya rasa disayangi di Chelsea n n chelseafc t co Fs eIC PE 
0, Given the extra time to score 
0, Kom igen ditt j u e vla CP CFCCRY chelseafc 
0, Gone ud d ude t co ipqpjQ d 
0, Yeeesss Chelsea palace
0, u u u u f u f u f u f u f u f u f u f u f u f u f u f u f u f u f u f u f u f u f u u 
0, PL ud c uddec ud c udde CHELSEA CRYSTAL PALACE n nChelsea n avait plus perdu depuis mois Zaha et Benteke buteurs n n CHECRY t u 
0, t co knco V Un 
1, Benteke n a aucun respect envers Couois ud d ude e ud d ude e CHECRY t co RvRmwqeDQp 
0, AllardyceForEngland t co ogR eXbFc 
0, Wilfred Zahaaaaaaaaaaa u ufe f ud d udc u ufe f ud d udc cpfc 
-1, Welp Hazard u a ufe f Cesc 
-1, Rubbish t co cQJmYEHtnW 
0, delete club 
-1, up at Stamford Bridge within minutes So this is unexpected CPFC 
0, SORPRES u d N u a Llega el segundo del Crystal Palace EN DIRECTO t co psjrU AJQ u 
0, Ghana 
0, GOAL Chelsea Crystal Palace mins Wilfried Zaha holds off the Chelsea defence before firing home from the edge o u 
0, GOAL Chelsea Crystal Palace mins Cesc Fabregas finishes off a fine piece of Eden Hazard wing play with a close r u 
0, perde il chelsea capolista sconfitta indolore per me checry pl skypremier 
0, ud d ude LIFT OFF AT THE BRIDGE n CHECRY t co TEmeguf PE 
0, Aprils fools are on us 
0, em a u e u e o em Stamford Bridge Menos de minutos nVAMOS CHELSEA n CHEPAL t co UsqtWeFm u 
0, The title race is back on n n are hunting down 
-1, Frustrating when is on one channel and is on the other husbandwife stworldproblems 
1, ud d ude cFOUR WINS ON THE SPIN t co lDc UFciB 
-1, FUCK YES PALACE cpfc 
0, Umpan silang ke 
0, ok 
1, Wow Result of the season given Chelsea s home record The most Sam Allardyce result ever cpfc 
0, What on eah was that eiiish 
0, Let them take the game We ll still get the cup
-2, Wtf man this is seriously damn frustrating ughhhh t co AB s F w 
0, ChelseaFC Diego Costa races onto a flighted Fabregas pass but the striker guides his header over the bar CHEPAL Acostik 
-1, Shouldn t laugh when ur shit ud d ude ud d ude ffs 
1, The greatest football picture EVER cpfc t co yUNoX Qc 
1, This is happening right cpfc ud d ude ud d ude ud d ude 
-2, The game tension in the house for Chelsea to score is insane come on chelseafc 
0, in action at the Bridge as we enter into the final minutes It remains to Palace n nCOME ON CHE u 
0, PL ud c uddec ud c udde CHELSEA CRYSTAL PALACE n nChelsea n avait plus perdu depuis mois Zaha et Benteke buteurs n n CHECRY t u 
0, ARRGGGGHHHH t co tOsmN TQqO 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
1, GOAL Crystal Palace Benteke s finish off a counterattack gives CPFC a lead at Chelsea Watch CHECRY now t co U xUNV VP 
0, Mdr on peut tr u e s distinctement apercevoir la dignit u e de Couois prendre la fuite t co n RYsuAWBp 
0, THERE WE GO t co Q ocOSX CF 
-1, Some players need to take a long hard look at themselves
0, Get in there Palace eaglesssss cpfc 
-1, what the fuck t co XQeWw PY 
1, Nice April fools prank 
0, N u e o acaba Que roubo 
0, checry why is the referee ignoring hand ball on box 
0, Come on boys CHECRY 
1, Great goal from Fabregas amp hold up play from n n CFC CHECRY CHELSEA PremierLeague BlueIsTheColour u 
0, Terus menggempur peahanan Crystal Palace Come on Chelsea CHECRY 
1, I ve loved Costa but he doesn t want to score Just stay in the box and poach 
-1, Shit team 
0, Mdr on peut tr u e s distinctement apercevoir la dignit u e de Couois prendre la fuite t co n RYsuAWBp 
1, FULL TIME Chelsea Palace Wilfried Zaha amp Christian Benteke give a fouh consecutive win and check Chels u 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
0, u Substitution Chelsea nChelsea Crystal Palace n CHECRY t co TM Wtq m 
0, MatchDay n CHECRY n ComeOnChelsea ud d udc ud d udc 
0, Per Couois una parata alla Garella checry PremierLeague 
0,
0, Le XI de Chelsea Couois Azpilicueta
1, Cme on lads let s win 
-1, costa is so shit
0, Kampret lo pada 
0, checry t co ZN VhycWa 
0, Full time Chelsea lose at home for the first time in matches Huge win for CPFC and Sam Allardyce u 
0, WHAT A GOAL WILFRIED ZAHAAAAA CHECRY t co P dqCZwR 
1, ud d ude cFOUR WINS ON THE SPIN t co lDc UFciB 
0, successfully lost it Who is next 
-1, Costa amp Hazard ud d udc ud d udc ud d udc 
0, Wakakakakakakk t co iItl wc uA 
-1, Next Saturday n n Chelsea Vs Crystal Palace n nPL GW n nStamford Bridge n n PM UK ud c uddec ud c udde time n nPL standings CHE CRY u 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
0, CHECRY BUT POUR CRYSTAL PALACE Au milieu de joueurs
0, Chelsea defending of last year on display CHECRY 
0, Big Sam wraca do formy x pkt i utrzymanie coraz bli u csze CHECRY 
0, LETS GO BLUES ud d udd ud d udc a ud c udffd t co xhQsJWib t 
0, But de Cristian Benteke CHECRY CFCLive n nChelsea Crystal n F Fabregas W Zaha n C Benteke 
0, Even Benteke scores against us CHECRY 
1, Christian Benteke with his first Premier League goal in months cpfc cfc 
0, Chelsea heeft met verloren van Crystal Palace Matic werd na minuten gewisseld oudvitesse checry 
0, The Blues are out warming up at Stamford Bridge ud d udcaa t co TW grfuegs 
0, Costa costing Chelsea point CFC CHECRY 
-2, HOW THE FUCK DID WE LOSE THAT 
1, Ref trying their best to hand Chelsea a point Wtf checry 
0, ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud c udf ud c udf ud c udf ud c udf ud c udf ud c udf ud c udf ud c udf ud c udf ud c udf t co lAJVQgiENK 
0, Kemong baby baby kemong 
0, Just over mins until kick off
0, The lads have arrived What are your score predictions u bd ufe f t co CWbDYMHkeS 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
0, fucks going on 
0, Liverpool back in the title race ud d ude b t co CzWF eIp 
1, Wilfried Zaha and Christian Benteke scores in the space of a minute to give CPFC the lead n nChelsea Crystal Pa u t co w kWqMu 
0, minutes of extra time wtf checry 
0, What a turn around We re trying to keep up CHECRY 
0,
-2, Zaha nearly seals it with a fierce first time strike CHECRY 
-1, UNBELIEVABLE CHECRY t co WHBYaKrAQR 
0, Match de fouuuuuu haha benteke dans les cuisses a david luiz le surcot u e CHECRY 
-1, UNBELIEVABLE CHECRY t co WHBYaKrAQR 
-2, Hell of an April Fools joke from Palace this cpfc 
1, Free Live stream ud d udce Chelsea vs Crystal Palace nMobile ud d udcf and Pc ud d udcbbhere ud d udc t co I aAghBBOm n CFC MATCH DAY CHECRY u 
0, Big Sam s troops made my day CHECRY 
0, We only did it ffs cpfc 
0, u u u u u u u u c u u d u u b u e u u u u u u u a u d u u c u u u u e u u u u u u u u n CHECRY 
1, FULL TIME Chelsea Palace Wilfried Zaha amp Christian Benteke give a fouh consecutive win and check Chels u 
0, july t co DcFPpPqi 
0, The hand ball not called on Townsend CPFC CHECRY t co VyS Ocmwkr 
0, Sakho n ud d udc f ud d udc f ud d udc f n EPLDiski n CHECRY 
0, Watch Here Live Stream Chelsea Vs Crystal Palace EPL Match Day t co h lL q lkO u u CHECRY EPL Livestream chelseafc 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
0, L u edder
0, Haha scored in min ud d ude ud d ude 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
-1, On April fool s day Benteke turned to Ronaldo amp it s not even a prank CheCry t co Do o aP n 
0, NOS GANO UN EQUIPO QUE ESTA POR DESCENDER 
0, ud d ude LIFT OFF AT THE BRIDGE n CHECRY t co TEmeguf PE 
0, L 
-1, Hazard and Costa anonymous today Lampard and Drogba ALWAYS delivered in these situations 
0, Londons number cpfc 
1, Premier League Pekan nFT Chelsea FC Crystal Palace nGoal Fabregas
-1, Fucking bottled it FFS MAN 
-1, April Fool s t co lrmcHR b 
0, ud e udd ud c udffc u d u ufe f ud e udd ud c udffc u d u ufe f ud e udd ud c udffc u d u ufe f ud e udd ud c udffc u d u ufe f ud e udd ud c udffc u d u ufe f t co hNrvwsKXzM 
0, A ueeeee bourbier a domicile enplus t co kS g e Hw 
0, checry is now trending in Kenya n n t co RsKQS E F t co zsXUnxadIf t co WKhwjepUnZ 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
1, Chelsea s magical season allows them this blip
1, ud d ude cFOUR WINS ON THE SPIN t co lDc UFciB 
1, Dropped points are the best points COYS checry thechaseison 
0, Its ok 
0, Salty because we re still first 
0, Gwan Crystal Palace ud d ude ud d udc c checry 
0, kosi la kazi t co NpjkE SQq 
0, opens up the scoreline ud d ude n Bois n checry 
0, Live Score PL Chelsea Palace Zaha CHECRY 
-3, Alyadyce you big fat wanker fuck of with your shit tatics 
-1, Where will you be watching ud c udf d t co OB aX zIp 
0, Trolls me every time i have him t co alTYiVBMJa 
0, GOAL CHEPAL t co FsUypfSyf 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
0, This is getting uncomfoable ChelseaFC 
1, Benteke n a aucun respect envers Couois ud d ude e ud d ude e CHECRY t co RvRmwqeDQp 
0, Meanwhile t co poer iog r 
0, Not far off t co T Cdba rOn 
0, Tu rejoues ce match des dizaines de fois
0, WHAT That s it I m switching over from the United game to this one ud d udc t co b PlZQIwwy 
0, SEVEN MINUTES CPFC 
1, Kante is so nuts he s tackled his own player leading up to Benteke goal ud d ude n CHECRY n t co esWs uoyC 
0, Termin u e Chelsea s incline contre Crystal Palace Tottenham l a empo u e et revient u e pts avant qu on affronte City mercredi CHECRY 
0, I hope this isn t the sta of a spanking cpfc 
0, What a fucking win Palace Get in cpfc 
-1, Diego pointing to his imaginary watch 
-1, Conte seems to has this bad habit 
0, April fools 
0, Agree t co yBuMqcIOnp 
0, Chelsea just can t get an equaliser CHECRY 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
0, The Kings of West London cpfc 
0, haha whats happening 
1, We re back in Premier League action today n nChelsea v Crystal Palace UK u bd ufe f t co Hpswk wKe 
2, That was the fastest two goals I have ever seen in Premier League seconds apa for Crystal Palace CHECRY 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
0, Zaha is just a bit bloody brilliant CHECRY 
0, That was a quick turnaround checry PremierLeague 
0, FIIIM DE PAPO Com gols de e 
-1, FUCKING HEROES u ufe f ud d udc t co celQqiuGC 
2, CHECRY years to Palace fans seconds for Chelsea fans ud d ude 
0, WHAT A GOAL WILFRIED ZAHAAAAA CHECRY t co P dqCZwR 
0, ud d udc BLUES 
-1, De keeper redt een vrije trap van Alonso CHECRY 
0, minutes up at Stamford Bridge CHECRY 
-1, Get the fucking in ud d udc a ud c udffc ud d udc a ud c udffc ud d udc a ud c udffc cpfc CHECRY 
0, Maybe the title isn t in the bag just yet Hopefully just a little blip amp normal service will be resumed soon u t co f RfdMCwh 
-1, Ohmygod i hate you 
0, I FUCKING LOVE BEING A PALACE FAN CPFC 
0, See I can t say anything cause I m an Arsenal fan so I ve been feeling what you ve been fee u t co BFvpNBChuA 
0, ud d udd b ud d udc t co SWQaRnfo 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
1, Well done 
0, ud d udca ud d udca ud d udca ud d udca ud d udca ud d udca ud d udca ud d udcb ud d udcb 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
0, u u a u u f u n CHECRY 
0, Chelsea v Crystal Palace n nThe history ud d udc t co yog iMbBc t co wVPvHR YdS 
2, We need wins from our last to win the PL COME ON YOU BLUESS CHECRY 
0, Goal ZAHA nAssist BENTEKE n nChelsea Palace mins FPL CHECRY 
0, GOAL CFC CPFC n nIncredible Crystal Palace have turned it around Benteke with the goal t co a wtOINMcw 
-2, shocking lose 
0, WHAT NO NO NO t co ttdHiAHLuB 
0, winning and losing does this signal a two horse title race 
0, A bola j u e t u e em jogo para x 
0, HAZARD THE GENIUS 
1, Premier League Pekan nFT Chelsea FC Crystal Palace nGoal Fabregas
-1, The hash tag CHECRY means chelsea cry 
0, Chelsea s last u e u e home matches WWWWWWWWWWWL checry t co PsBznNRqKT 
0, u KenyaCup n u RIPJanetKaniniIkua n u a CHECRY n u b LIVEVE n u c YoungMoney n n EAT trndnl t co hSf Br qP 
0, Con raz u f n os odio a muee 
1, It s all going off at Stamford Bridge u n nCrystal Palace lead Chelsea with just mins gone CHECRY t co A cN u 
1, Benteke n a aucun respect envers Couois ud d ude e ud d ude e CHECRY t co RvRmwqeDQp 
0, GOAL CHEPAL t co FsUypfSyf 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
0, The Benteke goal ud d udd ud d udd CHECRY CPFC t co RGeiQLlVc 
1, well that escalated quickly ud d ude t co L U CDE 
-2, BUUUUUUUUT de Fabregas Magnifique travail d Hazard pour la passe d u e cisive CHECRY 
-2, chelsea can t lose to crystal fucking palace at home man ffs ud d ude checry 
-2, Even with mins injury time you lost mins n rentboys CFC chelseafc 
1, Crystal Place beat Chelsea Now we know why Sanchez wants to remain in London Join a winning team checry ud d ude 
0, u u u u a u u u u u u u u u u a u u a u u u a u d u u u a u u a u u u u u u u n CHECRY 
1, Mamadou Sakho immense What a game he and Hennessey are having today Warrior cpfc 
1, Zaha and Sakho are awesome ud d udcaa u a CHECRY 
0, HAHHAHAHAHHAA 
0, Need that equaliser before the th min come on Come on lads CFC 
0, Go Blue u bd ufe f u bd ufe f ud d udc t co Yh ew riIC 
0, FT scores n n BurnleyFC THFC n CFC CPFC n HullCity WHUFC n LCFC SCFC n MUFC WBA u 
1, Well done lads ud d udc d ud c udffb ud d udc f ud c udffb t co mz j GD 
1, ud d ude cFOUR WINS ON THE SPIN t co lDc UFciB 
0, Chelsea backers n n CHECRY CFC PremierLeague t co HdaLPFvC X 
0, Mandare a fanculo la schedina grazie al chelseacrystalpalace ud d ude 
0, in action at the Bridge as we enter into the final minutes It remains to Palace n nCOME ON CHE u 
0, Just over mins until kick off
0, Yes indeed t co PFOEiDekMa 
0, What a turn around We re trying to keep up CHECRY 
0, u u u u a u u u f u u u u a u u a u u u u u u u u u u b u u u a u u f u d u u u u a u u u u f u d u u u d u a u u u ud d ude ud d ude CHECRY 
0, NOW WITH THE SET UP t co edH z aRC 
0, Bit annoyed at no clean sheet cpfc 
0, It s me and at the Bridge for chelsea v cpfc Full commentary on website t co u 
0, ChelseaFC Chelsea WeAreBlues David Luiz s schoolboy defending leaves Chelsea trailing against Crystal Palace t co JLsxlYuZKo 
0, Zaha puts palace level CPFC t co dsIrRqzUfq 
1, Diego has just dropped a performance today How have we not won this game seriously t co LgvUPNOyv 
-2, Haven t had a midfielder since who could score them Scorcher s from outside the box Badly missed FL t co r u 
0, Kick off Chelsea Crystal Palace CHECRY BPL t co HUfilOq TW 
-2, never get angry at our performance but however many chances you have to put the ball in the net fuck off diego costa 
0, Lelijke uitglijder Chelsea Man United schotloos t co UTGDkFrBwN checry 
0, Wis dijual tokcer
0, Can someone please tell Conte to change back to five defenders CHECRY 
-1, fuck u 
0, CHECRY Auteur d un match titanesque
0, ud d udd ud d udd t co nW zvaoXc 
1, nice april fools prank now when does the actual game sta 
0, FIIIM DE PAPO Com gols de e 
1, Zaha and Hazard both playing incredibly well cpfc cfc 
1, Love you lads t co Uo ZchTaaI 
0, a bit late 
-1, Don t fuck my bet up 
0, Le but de contre Chelsea CHECRY ud d udcaa ud d udc a CIV t u 
0, You got me n aprilfoolsday 
-1, Mate he s rattled the bar twice on his three attempts this season give him a chance 
0, WHAT A GOAL WILFRIED ZAHAAAAA CHECRY t co P dqCZwR 
0, maybe one day they will tell 
0, YES point gap now Getting a little tighter 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
-1, SHIT CLUB t co bhUZl k Qc 
3, Nothing feels better than a match day at home MUNWBA nAlso an interesting affair checry on air makes a happy saturday mufc chelseafc 
0, Chelsea ils m ont niqu u e mon pari mais suis m u eame pas f u e ch u e car ils ont perdu CHECRY 
1, Home defeat LOOOOOOL 
0, Project pts kicks off at the bridge We are ahead for a reason n checry n EPL n chelseafc 
0, Come on These are very impoant points Very very crucial cfc 
-1, is this some kind of April fools joke 
1, WERE GONNA WIN THE LEAGUE 
1, Look at David Luiz defending ud d ude but that Lebanese Brazilstat wants him over Miranda because he has better passing ud d ude u 
1, Clear handball by Townsend CHECRY t co mJechRoPuR 
0, MAMAD t co OuTS cGvBc 
1, This was a correct prediction it seems t co CUi z kMoM 
0, only points now ud d ude 
1, Well deserved 
0, GOAL CHEPAL t co FsUypfSyf 
0, where s the defense 
1, Full time Great result
0, Sakho fait le match de sa vie CHECRY 
-1, Cheers for ruining everyone s coupons today ud d ude b whosawthatcoming 
-1, Fucking rent boys t co oqMSmoXBey 
0, minutes ud d ude f cpfc 
0, Benteke puts palace ahead CPFC t co FcAu rnJk 
-1, y all don t have to take april fool s day literally 
-1, Fuck off 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
0, god damnit t co VZoWj KeSz 
-1, SMH our April Fool result t co W xqZWJ x 
-1, If that ref ever gets appointed to another game then the game is dead 
0, Just over mins until kick off
0, Wasn t expecting that from today
1, Just two footed myself n nI hope you re happy
0, Can t believe this u ufe f 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
0, We still have games to play including Man City 
1, FULL TIME Chelsea Palace Wilfried Zaha amp Christian Benteke give a fouh consecutive win and check Chels u 
0, David Luiz mengambil kaki Zaha Pelanggaran
0, Arbitro FILHO DA PUTA CARA n para de roubar time filho da puta t co cLwprOn Qb 
0, GOAL Chelsea Crystal Palace mins Cesc Fabregas finishes off a fine piece of Eden Hazard wing play with a close r u 
0, GOOOOOOOOOOOOL Fabregas Chelsea Palace CHECRY 
0, The Benteke goal ud d udd ud d udd CHECRY CPFC t co RGeiQLlVc 
0, INCREDIBLE MAMA What an interception with Costa lurking CHECRY 
-2, Hazard is unbelievable with the assist to fabregas CHECRY 
0, A bola j u e t u e em jogo para x 
0, announce lukaku and Sanchez 
0, Full time Chelsea lose at home for the first time in matches Huge win for CPFC and Sam Allardyce u 
0, U alright 
0, wenger OUT 
-1, My fucking man t co QipiLvV Pd 
1, When you hear Crystal Palace lead Chelsea after minutes ud d ude CHECRY t co VlgkjoqGVL 
0, Sakho s timely intervention denies Chelsea an equaliser CHECRY CFCLive 
-1, Him Lukaku is shit vs big clubs Domund chief has said in past that they will listen to offers 
0, Come on boys 
0, u u u u u u f u u a u u a u a u u u u f u u u u e u n n CHECRY 
0, Please t co x c igTr 
-2, Blind ref steals a corner CHECRY 
-1, This must be April fool from 
0, PL CHECRY n nCoup de th u e u e tre u e Stamford Bridge
0, WHAT A GOAL WILFRIED ZAHAAAAA CHECRY t co P dqCZwR 
0, u think u re doing me 
0, What a sta Behenketeke n CHECRY 
1, Crystal Palace are on a roll points against the lead leaders cpfc 
1, FULL TIME Chelsea Palace Wilfried Zaha amp Christian Benteke give a fouh consecutive win and check Chels u 
0, ud d udc e ud c udffb t co rfNWlFTVZH 
-1, UNBELIEVABLE CHECRY t co DPQGihM Qk 
2, just amazing great job lads I m jumping up and down miles away 
0, expecting extra extra time just to make ceain Chelsea equalise mins 
-1, In shock Get the feck in cpfc ud d ude c ud d ude c ud d ude c ud d udc ud d udc ud d udc 
0, Grande 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
0, David Luiz Kau kuning
0, Loftus Cheek replaces Fabregas for Chelsea cpfc CFC CHECRY 
0, Just over mins until kick off
0, ud d udca ud d udca ud d udca t co bItnFFzQFn 
-1, A number of great chances denied by Palace Chelsea may regret not capitalizing here CHECRY 
0, minutes checry 
0, Yaduuu t co QIg infIse 
0, THROW THE KEEPER IN checry 
-1, BS t co vB XeK oMn 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
-1, This game looks like a game of highlights Shit Horrendous defending CHECRY 
0, Ahhh ahhh wetin happen na choi 
0, u e u e u e a u e a u e a u e a u e b u e u e u e u e u e u e u e u e u e u e u e ud d ude d t co PiKpPOBi h 
0, ud c udf ud c udf ud c udf t co NB HVmdPW 
0, CHECRY Gr u e ce u e des buts de Zaha et Benteke
0, One more wake up call for 
-1, April fool now tell us the real result 
-1, painful as a cpfc fan listening to it 
1, TV is on in Michigan u bd carefree u t co HsvotYaMqD 
2, Looks like we ll have a title race in the Premier League after all t co sXA rK Dz 
0, Full time Chelsea lose at home for the first time in matches Huge win for CPFC and Sam Allardyce u 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
1, Manchester United fans retweet and we follow each other TheWeekendFolloTrain GainWithXtianDela MUFC MUNWBA u 
0, the way they playing should get the title simple as
0, CHECRY holysh t they actually beat Chelsea at the Bridge 
-1, What the hell is happening at Stamford Bridge nPalace aren t actually up after going down just minutes ago Reall u 
0, GOAL CHEPAL t co FsUypfSyf 
0, u bd ufe f u bd ufe f FOOTBALL 
0, ud d ude ud d ude ud d ude ud d ude ud d ude 
0, please 
0, CONTE OUT 
-1, Well damn it This is a painful sta CHECRY CFC 
1, It seems no kunt wants us to win this cpfc 
0, kldahsd okawsokdhawdo hawoidkhwaoidhawodhoawpidhwaodh cpfc 
0, Half time Chelsea Crystal Palace CHEPAL t co sEYvUhJTfe 
1, Benteke is to good 
0, in action at the Bridge as we enter into the final minutes It remains to Palace n nCOME ON CHE u 
1, Sakho Great Wall of China CHECRY 
0, Chelsea Crystal Palace mins Wilfried Zaha sets up Christian Benteke to put Palace ahead CHECRY 
0, whoaaaa london biru juga nyungsep ud d ude t co XUmxPFtJ t 
0, Haha salty wanker 
0, Just over mins until kick off
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
0, Full time Chelsea Crystal Palace CHEPAL t co zBxBjEhXdc 
1, ud d ude cFOUR WINS ON THE SPIN t co lDc UFciB 
0, u u u f u u u a u u u u u c u u a u u a u u u a u u a u u u u u u u u a u d u u u u u u c u u u u u u a u u a u u u u u u a u a u u u u a u u a u u f u u u u f u u u a u u u u a u u u u u u u a u u u u u u f u u u a u f u c u u u f u t co hG WZvNyf 
0, Our turn on wednesday t co W jpdoaa c 
1, thank you 
1, WHAT A WIN GladAllOver t co Y zRrZcneE 
0, Cheers lads t co vOlRg BdqS 
0, WTF ud d ude CHECRY FanLiveNG 
0, CHECRY Auteur d un match titanesque
-1, Pls just tweet it s April Fool 
0, Qu est ce que j avais dis ptn 
1, Benteke n a aucun respect envers Couois ud d ude e ud d ude e CHECRY t co RvRmwqeDQp 
0, GOAL n n CFC CPFC n nZaha equalises n n He smashed it in the bottom corner n n CHECRY ud d udcfb t co PKVz pzs u 
0, lol t co TbOicn ERQ 
1, Who would have thought Crystal Palace leading Chelsea at the Bridge n CHECRY n nMOOD t co QaHQuPsoAY 
0, GOAL CHEPAL t co FsUypfSyf 
0, GOOOOAAAAAAAAALLLLLLL FABREGAS t co LM b 
1, crystal palace is my hero CHECRY 
0, sell Costa to the Chinese 
0, Big Sam doing big Sam things CHECRY 
0, Mamadou Sakho qui fait un u e norme match CHECRY 
0, FINAL u a LOS u BLUES u CAEN EN CASA Cesc Zaha
0, Really missing Moses this game CHECRY 
1, Chelsea vs Crystal palace n nLive on HD Stream n n t co mVpg C N n t co mVpg C N n nPls like share u 
0, ud d ude LIFT OFF AT THE BRIDGE n CHECRY t co TEmeguf PE 
0, CommmmeOnnn Chelseaa ud d udc ud d udc ud d udc n n CHECRY 
0, Christian Benteke has scored in ufe f u e different PL matches against Chelsea CHECRY t co tsaUaXaZqC 
0, That dink cpfc 
0, NO WAYYY BENTEKE AND ZAHA COMBINE AGAIN AND THE STRIKER CHIPS COUOIS CHECRY t co ZpL yXN 
1, Benteke n a aucun respect envers Couois ud d ude e ud d ude e CHECRY t co RvRmwqeDQp 
