"text","emotion","polarity"
" i m waiting to see how arsenal fans are going to react to this ud d ude ","unknown","negative"
" if you are near an arsenal fan","joy","positive"
" arsenal fan tv s gonna be lit ud d udd ","unknown","positive"
" giveaway if we hit k by monday","unknown","positive"
" west brom haven t beat a top club this season n narsenal hold my beer ","surprise","positive"
" in africa we have mugabe in europe we have wenger wengerout coyg ","unknown","positive"
" i don t even feel pain when arsenal lose anymore ","unknown","negative"
" west brom arsenal ndawson again ","unknown","positive"
" we have a habit of getting other clubs to sack their managers","unknown","positive"
" only man that can save arsenal now t co lvkeo gtos ","unknown","positive"
" being an arsenal fan should be included in ways to die ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" arsenal ditahan west brom di babak i","unknown","positive"
" i feel sorry for arsenal ","sadness","negative"
" all good tins must come to an end arsene wenger has done his part","joy","positive"
" don t be utterly ridiculous","unknown","negative"
" these arsenal meltdowns are like crack to me ud d ude ","joy","neutral"
" arsenal lembu arsenal lembu arsenal lembu arsenal lembu arsenal lembu arsenal lembu arsenal lembu arsenal lembu ","unknown","positive"
" only one man can save arsenal t co cworwbmrbn ","unknown","positive"
" wow we are shocking right now we are not going to get our beloved th place at the moment ud d ude ","sadness","neutral"
" arsenal fans right now t co lmxo jyuov ","unknown","positive"
" we need some steel in defence","unknown","negative"
" you support arsenal this days or ud d ude t co f cwl jzt ","unknown","positive"
" arsenal legends are fed with wenger as well have some dignity and fuck off t co p nwxi rhb ","disgust","positive"
" fuck off ","unknown","positive"
" moyes and lvg sold us dreams for three years and i nearly died imagine being sold dreams consistently for years like u ","joy","positive"
" cant believe i turned the tv on to arsenal losing to west fuckin brom ","unknown","negative"
" lol ","unknown","positive"
" home league goals this season n nwest brom narsenal nman city nmanchester united t co scilbet x ","unknown","positive"
" credit to most arsenal away fans today","unknown","positive"
" relationship breakups won t mean anything to narsenal fans","unknown","negative"
" i hate to say it","anger","negative"
" west brom vs arsenal live t co cehzqueyym ","joy","positive"
" arsenal are a joke absolutely embarrassing ud d ude ","unknown","neutral"
" buhari a ponzi president nmmm a ponzi scheme narsenal a ponzi football club ","unknown","negative"
" it s been a great season on arsenal fan tv t co l fmenunou ","joy","positive"
" banners flying over the game arsenal fans in a nutshell t co gwtbturebs ","unknown","negative"
" arsenal have won just two games in the past month against sutton and lincoln ","unknown","positive"
" arsenal fans on twitter right now t co f elljlk ","unknown","positive"
" i couldn t believe how i shouted ah when i went online now to check s score against wba n wengerout is best for him now ","anger","positive"
" arsenal getting humiliated n n ","unknown","positive"
" feeling inspired nwest bromwich albion nusimalize mnyonge","unknown","positive"
" these players have no passion they re clueless ","unknown","positive"
" ud d ude ud d ude ud d ude ud d ude ud d ude see them planes arsenal fans are wierd mate ","unknown","positive"
" me nablame nasa aki ud d ude ud d ude ud d ude ud d ude ud d ude t co uuu qt jrk ","unknown","positive"
" arsenal arent very good ","joy","positive"
" an arsenal draw and a united win tomorrow","unknown","positive"
" arsenal fan tv and chill ud c udf a ","fear","negative"
" arsene plizzzzz goook ","unknown","positive"
" take a lead over arsenal n nlet s go live to wba supporters right now t co ui zmcldlx ","joy","positive"
" arsenal u s last three premier league away games n nwest brom arsenal nliverpool arsenal nchelsea arsenal n ns u ","unknown","negative"
" u bd buut de c dawson u bd n nwest brom u e u e arsenal ","unknown","positive"
" ft albion dawson ","unknown","positive"
" so when someone is loyal to someone else you expect them to either be loyal back or show you how much that means nope not arsenal players ","joy","neutral"
" ","unknown","positive"
" only arsenal fans can hire two planes in one game insane commitment to banter t co a gk nhm ","joy","negative"
" derrota decisiva arsenal cae derrotado ante el west bromwich partido decisivo para el futuro de arsene weng u t co erqghu uim ","unknown","positive"
" arsene wenger is the best coach for arsenal he keeps them in the top of epl every season and take them to t co yveyswdq o ","surprise","positive"
" i m so pissed i misspelled ","anger","positive"
" two craig dawson headers seal an impressive home win for tony pulis s men wbaars t co nojdcgzua ","unknown","positive"
" sure you will never understand","unknown","positive"
" final west brom arsenal el arsenal toca fondo y parece destinado a quedar fuera de puestos champions ","unknown","positive"
" t co iski ykmc ","unknown","positive"
" n u e har spurs poeng p u e arsenal n u e r begge lagene har kamper igjen i u e r da ","sadness","positive"
" wonder who s gonna win tonight on arsenal fan tv","surprise","positive"
" how arsenal defended the corner for dawson s second goal school boy t co k urkfrl ","unknown","neutral"
" n nwe want our club back n nand we want all of these spineless wonders to do one ","unknown","positive"
" wenger out arsenal fans chant ha ha ","unknown","positive"
" the board when you tell them they have a commitment to the fans ","unknown","positive"
" arsenal ","unknown","positive"
" odds on arsenal top ","surprise","positive"
" arsenal are absolutely rank ","unknown","negative"
" t co vhm u kmq n yogiadityanath n btsinbrazil n wbaars n mmkreunited n mart nbetist tl freebonus nxhakawest brom arsenal n u u a u u a u u u u ","unknown","positive"
" t co iski ykmc ","unknown","positive"
" dawson was unmarked","unknown","positive"
" this is usually the part after the bad spell that we go on a run and do fairly well to catch up ud d ude biggest collapse in recent years arsenal ","joy","neutral"
" the first time that arsenal have lost four league matches in a five game run in arsene wenger s reign first time since april u ","unknown","negative"
" where are kroenke amp gazidis nthe silent arsenal assassins filling their greedy boots at fans expense nthey can t hide any u ","anger","negative"
" o arsenal com arsene wenger n u e o vai ganhar nada o que custa o presidente ou dono mandar o treinador p u e frio de t u edtulos embo u ","joy","positive"
" we a bunch of damaged emotional arsenal fans pray for us some times ","unknown","negative"
" watching arsenal fan tv like ud d ude ud d ude ud d ude wbaars t co gqzhqofwhp ","joy","positive"
" tony pulis has lost just one of his last seven premier league home games against arsenal n n wins n draws n defeat u ","unknown","negative"
" arsenal fans preparing their next plane wbaars t co ysv qt ya ","unknown","positive"
" oh arsenal ","unknown","positive"
" the future of arsenal fans t co aen hotz ","unknown","positive"
" in or out n narsenal fans just can t decide n n u ufe f t co tagtn zr ","unknown","positive"
" ft west brom arsenal don t even know what to say wbavafc ","unknown","positive"
" woooaaah didn t see that coming well done ud d ude oh arsenal ","unknown","positive"
" ud d ude t co q wo vht ","unknown","positive"
" moment of silence for arsenal fans wenger out t co xedy rus r ","joy","neutral"
" sportiptv premier league craig dawson s two goals lead west brom to a victory over struggling arsenal four t co mvnunyhjwf ","unknown","positive"
" that s an insult on joke njoke is better than arsenal t co fp vjs t c ","unknown","neutral"
" mcm mane bagong t co bnsk rpbw ","unknown","negative"
" so","unknown","positive"
" now arsenal fans celebrate losing games for different reasons mbu wenger out tuswade ","unknown","neutral"
" shame on ","sadness","negative"
" viendo west bromwich vs arsenal fc ","unknown","positive"
" teams arsenal have beaten in their last u e matches n nsutton united nlincoln city t co vmfdt xxma ","unknown","negative"
" you have abdicated any right to be considered a big club ","unknown","positive"
" cue arsenal meltdown ud d ude ","unknown","positive"
" wbaars but pour west brom craig dawson vient encore mettre sa t u eate sur corner et s offre le doubl u e arsenal e u ","unknown","positive"
" live as things stand","joy","positive"
" come out of footy training to see arsenal result ud d ude ud d ude ","unknown","positive"
" is wenger on drugs ud d ude ud d ude ud d ude ","unknown","positive"
" darren fletcher ud d udc t co kdh gxko ","unknown","positive"
" arsenal currently t co gevokjqqe ","unknown","positive"
" arsenal till i die ","unknown","positive"
" how many times have we heard pundits say that is the worst arsenal performance i ve seen in a long time ud d ude ","unknown","negative"
" que mal el arsenal ","unknown","positive"
" shut d fuck up fucking dickheads ","unknown","positive"
" why the fuck are men free in the box ud d ude ud d ude ud d ude and no one challenges for the ball ahahah arsenal are fucking shit t co rzuiyby g ","unknown","positive"
" pathetic we nothing but a medioca team nowadays we need to get our heads out our arses ","sadness","negative"
" with over passes to wba s yet losing malaise shows wenger waning influence in efl ","unknown","negative"
" irrespective of how i feel about arsenal kyle martino is an asshat ","unknown","positive"
" arsenal players downing tools on wenger the same way leicester s did to raineri painful stuff for gooners but good result for us ","joy","negative"
" goal west brom arsenal dawson it surely time to make that decision arsenal ","unknown","positive"
" l t co fhgrsdlgu ","unknown","positive"
" arsenal might have lost this but let s focus on what s important","unknown","neutral"
" arsenal have won just two games in the past month against sutton and lincoln ","unknown","positive"
" arsenal should give wegner the ol lane kiffin and just leave him in west bromwich wengerout ","unknown","positive"
" stop it ","unknown","positive"
" arsenal tv blood should be fun again afc ","unknown","negative"
" arsenal banter is no longer fun tbh","joy","negative"
" ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude t co spyyurwuoy ","unknown","positive"
" thank you your duty was over ","unknown","positive"
" avioneta de wenger contra avioneta dos adeptos t co f m vzajrj ","unknown","positive"
" your mcm is still putting arsenal to win away on his acca ","unknown","positive"
" guerra de avionetas en el west brom arsenal wenger s u ed","unknown","positive"
" four wba players stood all alone t co bvwojppphg ","unknown","positive"
" yer da still thinks he can take the arsenal forward ","unknown","positive"
" arsenal have driven me from year season ticket holder to fan of rugby union i am much the better for it ","unknown","positive"
" arsenal fan tv need to be a netflix series","unknown","negative"
" don t mince your words","unknown","positive"
" the donkey sums up arsenal s performance on arsenal fan tv t co adhsuhqzsc ","unknown","positive"
" arsenal fan tv will be jokes tonight ","unknown","positive"
" yeahhh arsenal kalah hahahaha ","unknown","positive"
" ft west brom arsenal n nanother one of those days for alexis sanchez amp co ","unknown","positive"
" hee banna last time i checked it was all half time t co dslgkgfq ","unknown","negative"
" because nallah is with the patient ones t co k cjpdo ","unknown","positive"
" come out and announce your resignation let s the fan get behind you and let arsenal plan for the future","sadness","negative"
" that moment when you re ready to watch arsenal fan tv ud d udc ud c udf f t co zvegrjaijc ","unknown","neutral"
" plus les jours passent","unknown","positive"
" west brom fans are trolling arsenal now lol cock of the walk now the feather duster ","joy","negative"
" yes arsenal ","unknown","positive"
" we ve got a big one here boys","unknown","positive"
" let s all laugh at arsenal ud d ude ud d ude wba arsenal epl gone ","unknown","negative"
" arsenal lose again oh well ","unknown","neutral"
" i m ashamed to be a fan of the team i hope you guys lose everyone","unknown","negative"
" arsenal fans are mentally stronger than arsenal players ","unknown","positive"
" via arsenal have lost out of premier league games for the first time since april afc plonnbc ","unknown","neutral"
" whenever i think life is terrible","fear","neutral"
" arsenal is now like that drunk uncle whose only use is to provide comic relief at a funeral ","joy","neutral"
" arsenal fans t co moybjxe bj ","unknown","positive"
" don t need to be that good to beat arsenal t co lvvi svttc ","joy","neutral"
" hopefully arsenal finish outside the europa league placings it s not even a reward that thursday night cup the jpt of europe ","unknown","neutral"
" arsenal fans are an absolute embarrassment ","unknown","negative"
" the arsenal fans need to hire out a jumbo jet and tell the players to do one cause there fucking brutal never mind the professor ","unknown","negative"
" arsenal that was just of the most pathetic games something has to change players u b either need a big kick up their arse or the manager ","joy","negative"
" thatmomentwhen you re ready to watch arsenal fan tv ud d udc ud c udf f t co gact pup ","unknown","negative"
" ft west brom arsenal n nch u fang t u f i s u ebd u u ec b u ee c h u ecnh u edf u u e y v u e nh u b u eddng quy u ec n b u ecnh lu u eadn cho c u e c b u ea n t co sbkk wvf ","unknown","positive"
" west brom haven t beat a top club this season n narsenal hold my beer ","surprise","positive"
" oh dear arsenal ","unknown","positive"
" icymi nthis actually happened ntwo planes ud d udee nwenger out nwenger in nwhen s he doing the hokey cokey arsenal t c u ","unknown","positive"
" arsenal facing th defeat in premier league games nonly games won in the last month both against th tier teams ","unknown","negative"
" that moment when you re ready to watch arsenal fan tv ud d udc ud c udf f t co zvegrjaijc ","unknown","neutral"
" what s happened to arsenal recently","unknown","positive"
" please","joy","positive"
" full time west bromwich albion arsenal ","unknown","positive"
" watching arsenal fan tv like ud d ude ud d ude ud d ude wbaars t co gqzhqofwhp ","joy","positive"
" entrou olivier giroud no arsenal saiu theo walcott ","unknown","positive"
" no ls so far what a way to start your arsenal career ud d udd t co g ai d ywt ","unknown","negative"
" ay","unknown","positive"
" and some of you didn t want this average arsenal side in the semi s preferred chelsea ud d ude ","unknown","positive"
" it s such a knee jerk reaction to just say wengers fault as soon as arsenal are in trouble n nwenger isn t the only pro u ","unknown","negative"
" jajajajajajaa t co qogikphynr ","unknown","positive"
" ahahahaahahahahahahaa two plane banners contradicting each other only arsenal fans ","unknown","positive"
" lol why is trevor noah weighing in on arsenal t co k xeemzgsk ","unknown","positive"
" i m done mehn","unknown","positive"
" which arsenal players did i single out for criticism ","unknown","negative"
" arsenal have now lost of their last games in all competitions n nlwllwl n nthe two wins were against non league op u ","surprise","negative"
" arsenal lose to suffer their th defeat in the last epl matches t co g hlhn i ","sadness","negative"
" arsenal lol ","unknown","positive"
" arsenal have won just two games in the past month against sutton and lincoln ","unknown","positive"
" arsenal have now conceded goals in six of their last seven premier league away games t co cfwjkazpf ","unknown","negative"
" ft west brom arsenal now we wait","unknown","positive"
" i m baffled when i see people tweeting about arsenal","anger","negative"
" arsenal fan when wenger takes sanchez off t co l fviywtyi ","unknown","positive"
" con decirles que defiende m u e s stefan medina que la defensa del arsenal","anger","positive"
" hahahahahahah arsenal ud d udc e ","unknown","positive"
" arsenal are fucking shite ud d ude ","unknown","positive"
" live as things stand","joy","positive"
" goal west brom arsenal mins robson kanu scores within a minute of coming on","unknown","positive"
" arsenal fans right now t co kflvidzt v ","unknown","positive"
" west brom fans ole ing passes and singing for arsenal wenger to stay this club is finally on its arse ","unknown","positive"
" where arsenal let us down","unknown","positive"
" analysing the cold","unknown","negative"
" coming down for lunch after watching that arsenal display t co sdbqcymfcs ","unknown","positive"
" mdrrrrr arsenal se fait boire danse de la joie ehehehe ","unknown","positive"
" ahahahaahahahahahahaa two plane banners contradicting each other only arsenal fans ","unknown","positive"
" solusi hanya satu wengerout wengerout wengerout wengerout ","unknown","positive"
" arsenal si sos un equipo vulnerable dentro del u e rea con m u e s raz u f n hay que achicar espacios hacia adelante y combinarlo con u ","anger","positive"
" ozil speaking about his former club arsenal in the year n n i think it s finally time for wenger to leave t co g u ","unknown","positive"
" robson kanu s u f lo llevaba un gol en toda la temporada con west brom anota el que est u e significando victoria ante ar u t co hxunaeidux ","anger","positive"
" i want arsene to be happy but the way things are now i can see he s in pain he loves the arsenal but it s causing him too much heartache ","joy","negative"
" to make matters worse","unknown","negative"
" what a disgrace perfomance by we lack the character and the zeal for winning afc wengerout ","joy","negative"
" rip arsenal ","unknown","positive"
" waiting for arsenal fan tv like t co hfkaa emum ","joy","positive"
" arsenal fans right now t co kflvidzt v ","unknown","positive"
" only one man can save arsenal t co cworwbmrbn ","unknown","positive"
" nothing i like more then arsenal loosing ","joy","positive"
" west bromwich albion venci u f ","unknown","positive"
" crucial away goal t co sska e qxm ","unknown","positive"
" west bromwich albion saw off arsenal at the hawthorns","unknown","positive"
" wait for the scenes when the new year contract for wenger is announced ","unknown","positive"
" where are kroenke amp gazidis nthe silent arsenal assassins filling their greedy boots at fans expense nthey can t hide any u ","anger","negative"
" meanwhile on arsenal fan tv tonight n nwba blud nwenger blud nbold blud nblud blud blud nfam fam fam t co tawbwqckif ","unknown","positive"
" arsenal fan tv west brom arsenal ty crucial away goal t co g r coyv ","unknown","positive"
" goal robson kanu who s just come on makes it westbrom arsenal wbavafc t co cgufuog mx ","unknown","positive"
" every time i bet on arsenal they fucking lose ud d ude ud d udd ud c udffc ","unknown","negative"
" entertained by d way dis clowns play all over d place w out attempt on target they only know how to pass ","fear","neutral"
" arsenal have really impressed me today ","unknown","positive"
" ptdr arsenal c est gentil de vouloir me faire rire mais manchester va bien s u fbr pas en profiter ","joy","positive"
" maka fans arsenal akan wengerout ","unknown","positive"
" goal west brom arsenal mins another corner","unknown","positive"
" the only teams arsenal have beaten in the last month are both non league awful again today t co jhvhlhadt ","surprise","negative"
" wbavafc losing consistently lately heads must roll now ud d ude ud d ude ","unknown","negative"
" everyone knows how west brom play except it seems the arsenal manager still","unknown","positive"
" woodwork danny welbeck hammers against the bar from xhaka s corner still mins n n wbaars ","joy","neutral"
" another wonderful day to make fun of arsenal fans","surprise","neutral"
" i ve lived through worse arsenal teams than this","unknown","negative"
" ud d ude ud d ude t co vflvvsaks ","unknown","positive"
" t co uqtyb jsr ","unknown","positive"
" arsenal ","unknown","positive"
" wengerin t co wmbqjirjlu ","unknown","positive"
" a week ago barcelona needed goals in mins to beat psg they did it n ntoday arsenal had mins to score against west brom u ","anger","positive"
" thierry henry on arsenal players is the arsenal shirt too heavy for you stop hiding behind arsene wenger and be u ","unknown","positive"
" ud d ude ud d ude wuya kaiko nguy arsenal loosing oo t co pldpgqpkqt ","unknown","positive"
" arsenal fans repeat after me","unknown","positive"
" what has happened to the gunners wenger s future looks very bleak wbaars t co czu yle o ","unknown","negative"
" full time west brom wbavafc nfull tiime west brom arsenal n nimproved albions t co a nntdybz ","unknown","positive"
" at arsenal the players and manager get away with embarrassing performances because the fans just out embarass them ","sadness","negative"
" only one man can save arsenal t co cworwbmrbn ","unknown","positive"
" plane noise above the stadium is louder than the arsenal fans support inside the stadium ud d ude ud d ude ud d ude ","unknown","positive"
" looks like arsenal players are doing to ars u e ne wenger what chelsea players did to jos u e mourinho wexit ","joy","positive"
" two craig dawson headers seal an impressive home win for tony pulis s men wbaars t co nojdcgzua ","unknown","positive"
" multiple arsenal fans with banners today asking for wegner s sacking t co kzzudt x ","unknown","positive"
" to be expected t co elkmilermq ","unknown","positive"
" goal west brom arsenal ud d ude t co f btelbc s ","unknown","positive"
" no ls so far what a way to start your arsenal career ud d udd t co g ai d ywt ","unknown","negative"
" a second goal for craig dawson and from another corner n nwest brom arsenal n n ud d udcf ud d udcbb t co cytlvk jr u ","unknown","positive"
" we need to win tomorrow now more than ever","unknown","neutral"
" ft west brom arsenal now we wait","unknown","positive"
" rt if you re laughing at arsenal t co mchaibbeff ","unknown","negative"
" aleuto arsenal xtahan aku tengok sial ","unknown","positive"
" arsenal fans having a twitter argument via planes amazing ","surprise","neutral"
" west brom arsenal ty the plane distracted the players t co iiluo nchs ","unknown","positive"
" to be fair","unknown","positive"
" goal west brom arsenal robson kanu watch live on sky sports hd or follow t co bqxrahtqsq t co a u ","joy","negative"
" a joke t co klcnrcbitc ","unknown","positive"
" arsenal wtf ","unknown","positive"
" arsenal fan tv tonight t co j r phyn ","unknown","positive"
" arsenal t co rexjo on ","unknown","positive"
" arsenal ud d ude a ","unknown","positive"
" who can arsenal win ","unknown","positive"
" planes taking off from birmingham airport with banners bannerwars ud d ude ud d ude t co bh necg or ","unknown","positive"
" political forum g west brom arsenal amp this is the perfect time for arsene wenger to throw in the towel t co qvgpin ak ","unknown","neutral"
" we are arsenal and we are shite ","unknown","positive"
" i love arsenal but beginning to think a fresh start is needed on all fronts starting from that yank at the top ","joy","positive"
" half time n nwest brom arsenal nwenger in wenger out n n t co bpqtxzb n t co tvpe gvsdr ","unknown","positive"
" less than games left of the season and we re points behind arsenal n nwell done tony pulis ud d udc f ud c udffb ud d udc f ud c udffb ud d udc f ud c udffb wba ","unknown","negative"
" wba har mot arsenal v u e rt drag lever i h u f gsta drag premierleague oddsprat u t co kdselr g ","sadness","positive"
" arsenal have won just two games in the past month against sutton and lincoln ","unknown","positive"
" full time chelsea arsenal ","unknown","positive"
" two craig dawson headers seal an impressive home win for tony pulis s men wbaars t co nojdcgzua ","unknown","positive"
" i really feel for arsenal fans what a messy situation ","unknown","negative"
" plane wars pro and anti wenger factions take to the skies at arsenal v west brom yahoo sports t co qhakczj n sport news ","unknown","negative"
" how can you call yourself an arsenal fan if you re happy to keep this same crap","joy","neutral"
" lmfaooo arsenal are such a banter club ","joy","positive"
" can t wait for that arsenal kid on youtube ud d ude ud d ude ud d ude ","joy","positive"
" quel bail de arsenal se fait gifler ","unknown","positive"
" sigh arsenal gives me life ","unknown","positive"
" es la primera derrota del por goles vs desde septiembre de t co d fc tib ","unknown","positive"
" insanity is doing the same thing over and over and expecting a different result season after season timeforchange wengerout ","unknown","negative"
" arsenal fans right now t co kflvidzt v ","unknown","positive"
" stop it ","unknown","positive"
" arsenal need to concede more goals to offer arsene wenger a contract extension target ","unknown","negative"
" it s a tough life being an arsenal fan ud d ude b ","unknown","negative"
" derrotas en u faltimos partidos por dios q est u e n esperando ","joy","positive"
" arsenal are the gift that just keep giving","unknown","positive"
" ft west brom arsenal n nanother one of those days for alexis sanchez amp co ","unknown","positive"
" the whole of first half arsenal played with men cos walcott and welbeck were not involved at all wbaars ","unknown","positive"
" pressure mounts on wenger as arsenal lose again t co wk d tbfnr t co rdmgltthdm ","unknown","negative"
" trend alert wbaars more trends at t co tovvbu tjp trndnl t co vnqexk cny ","fear","positive"
" your heard him scrubs t co j gmchbicb ","unknown","positive"
" pl ud c uddec ud c udde west brom arsenal n ntermin u c n n wbaars t co xb strg oi ","unknown","positive"
" a picture paints a thousand words n t co bpqtxzb n t co hlhjuvxz s ","unknown","positive"
" looking forward to playing in the europa league next year ","unknown","positive"
" ud d ude ud d ude ud d ude so true","unknown","positive"
" arsenal loooool ","unknown","positive"
" wbaars t co uxisjwpvmi ","unknown","positive"
" granit xhaka has completed more long balls than any other outfield arsenal player this season n ndistribution f u ","unknown","negative"
" les supporters d arsenal la e place n est pas un troph u e e","joy","positive"
" help yourself we are concerned with helping arsenal rn t co eldexvkeu ","unknown","negative"
" mins west brom arsenal t co z nyx ojo ","unknown","positive"
" at half time both sides will be hoping for that crucial next plane to make it wbaars t co atqjvnyzla ","unknown","positive"
" arsenal had possession but managed just shots on target t co nf bqt je ","unknown","positive"
" arsenal fans fly a banner over the hawthorns aimed at arsene wenger n n no contract wenger out t co ncbnshgsq ","unknown","positive"
" as an arsenal fan must say some of these fans are shit cunts","unknown","positive"
" thatmomentwhen you re ready to watch arsenal fan tv ud d udc ud c udf f t co gact pup ","unknown","negative"
" very t co pzsyohs cj ","unknown","positive"
" every week t co gmfcjmesb ","unknown","positive"
" ud d ude ud d ude ud d ude ud d ude ud d ude r i p arsenal ","unknown","positive"
" sealed wba ars n narsenal le prey epl ","unknown","positive"
" il nest mm pas encore h le ticket est d u e j u e mort a cause d arsenal ","joy","positive"
" west brom arsenal gunners lose yet again as cech and sanchez go off injured t co kyas bdpgs t co nu lh d ","unknown","negative"
" when will you leave arsenal football club askarsene ","unknown","positive"
" ni nanti arsenal mesti kena troll ","unknown","positive"
" arsenal fan tv is gonna be magical hahaha ","unknown","positive"
" wengerout isnain ud d ude ","unknown","positive"
" this is my dj ing at nike completely unaware arsenal are collapsing right now face t co hq o m y ","unknown","positive"
" west brom arsenal match report t co chht vxv ","unknown","positive"
" firearsene t co nvopkqb w ","unknown","positive"
" lmao arsenal fans are confused planes","unknown","negative"
" arsenal are rubbish ","unknown","negative"
" robson kanu scored against you ud d ude ud d ude ud d ude ud d ude nget absolutely fucked ","unknown","positive"
" t co i bkogoui ","unknown","positive"
" arsenal fan tv going to be lit ","unknown","positive"
" arsenal ni tengah lawan west b ayern rom ke bang ","joy","positive"
" waiting for arsenal fan tv like t co ksl drmjqm ","joy","positive"
" goal west brom arsenal mins another corner","unknown","positive"
" arsenal fans right now t co kflvidzt v ","unknown","positive"
" qu u e equipo de mierda es el arsenal ","unknown","positive"
" arsenal had as many shots on target as they had planes flying over the pitch ","unknown","positive"
" lmaooooooooo t co kqkodfpvc ","unknown","positive"
" and somehow","unknown","positive"
" yeah dude queens english and all that we yanks spell things differently practise corners ","unknown","positive"
" we will not allow you sack wenger n nwe will not take it he is a philanthropist ","unknown","positive"
" t co iski ykmc ","unknown","positive"
" west brom fans ole ing passes and singing for arsenal wenger to stay this club is finally on its arse ","unknown","positive"
" are absolutely shit i want a refund ","unknown","positive"
" unforgivable defending from these arsenal players no leaders no passion no fight n nis it time for wenger to go ht u ","unknown","neutral"
" arsenal losing is great for liverpool we must capitalise tomorrow up the reds ","joy","neutral"
" beller u edn tem que sair do arsenal","anger","positive"
" final en the hawthorns wba arsenal t co sqhf cizjd ","unknown","positive"
" if you crow in october and november you will be eating shit come march amp april this is league is too unpredictable u ","unknown","negative"
" nice job arsenal ud d ude ","unknown","neutral"
" arsenal have had so much rest compared to other teams ","unknown","positive"
" well this was shit ","unknown","positive"
" wbaars nwhat the fuck was that from west brom ","unknown","positive"
" arsenal every year t co fzarrwkjvn ","unknown","positive"
" stop it ","unknown","positive"
" t co ukbqztuhqs ","unknown","positive"
" goal west brom arsenal ud d ude t co f btelbc s ","unknown","positive"
" thierry henry on arsenal players is the arsenal shirt too heavy for you stop hiding behind arsene wenger and be more than u ","unknown","positive"
" arsenal are on route to having another wasted season ","unknown","positive"
" arghh sungguh ku kiciwa sama arsenal ud d ude d ud d ude d ","unknown","positive"
" fck all arsenal players including ozil amp sanchez we were in top wit chamark","surprise","positive"
" eita nois","unknown","negative"
" please wenger leave us please i am begging you please please please wenger go away enough is enough ","joy","neutral"
" pl ud c uddec ud c udde west brom arsenal n ntermin u c n n wbaars t co xb strg oi ","unknown","positive"
" are players payed for their job this doesn t look like it most are too lackadaisical on d pitch i doubt if they are being paid ","joy","negative"
" kalau arsenal kalah","unknown","positive"
" you ve got to love arsenal fans via t co ielqg hsu ","joy","positive"
" to arsenal","unknown","positive"
" what ll it be","unknown","positive"
" and arsenal fans wonder why he wasnt in the england team loooooool t co wx vwfrozl ","surprise","positive"
" wexit wengerout t co nacwgdbcnb ","unknown","positive"
" arsenal babi ","unknown","positive"
" wbaars headlines will focus on wenger s future but albion deserve huge praise more fight","unknown","positive"
" losing and u say it s a great day ","joy","neutral"
" goal robson kanu who s just come on makes it westbrom arsenal wbavafc t co cgufuog mx ","unknown","positive"
" table arsenal s defeat leaves them facing the prospect of falling behind man utd into th place this weekend afc t u ","unknown","neutral"
" joke of a club ","unknown","positive"
" spot on with the scoreline ud d udc ud d udc ud d udc ni just knew it t co ijzsnzk h ","unknown","neutral"
" wexit ","unknown","positive"
" west bromwich arsenal ma u e u s u ras u nda u f nce s u f zle u fme yok","unknown","positive"
" jesus arsenal are absolutely pathetic ","sadness","negative"
" we gave up when that third went in against west brom with minutes to go you shame the invincibles","sadness","negative"
" how can you come from nd last season and not think of how to improve the team to win the league the following season ","unknown","positive"
" u a el presidente que venezuela merece lorenzo mendoza prepara un u carsenal electoral para arribar a miraflo u ba t u ","unknown","positive"
" ft wba arsenal n narsenal are five points outside the top four now wbavafc n n t co prx rl pa t co ydrff u ","surprise","neutral"
" arsenal can t spoil you weekend if you never expected to win t co rnf kbfjr ","unknown","negative"
" i may honestly stop being an arsenal fan this year i deserve better than this relationship tbh t co zac jatns ","unknown","positive"
" arsenal fans have hired protest planes","unknown","negative"
" arsenal ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" i shouldn t laugh at arsenal exact same thing will happen when liverpool go there ","unknown","negative"
" i shouldn t be laughing ud d ude t co eibzc gq ","unknown","negative"
" bisoprolol mg t co vbchfi dad ","unknown","positive"
" haven t watched arsenal in the premier league since our loss vs everton it s been excellent for my mental health ","unknown","positive"
" west brom arsenal ty the plane distracted the players t co iiluo nchs ","unknown","positive"
" arsenal fan tv going to be lit as usual ","unknown","positive"
" if you think that s heartbreaking imagine how devestated he was when you were born t co sjpybl n b ","sadness","neutral"
" west bromwich albion vs arsenal live t co lwwhmi e e ","joy","positive"
" the tl when arsenal are losing t co jhn va zn ","unknown","negative"
" you guys arsenal fans ","unknown","positive"
" que c est dur d u eatre supporter d arsenal en ce moment mdr ","joy","positive"
" can t believe i missed this magic t co vwxeharkpj ","unknown","positive"
" this is embarrassing and when will wenger be fired arsenal ","unknown","neutral"
" u u u u u u u a u u u u a u u u ud d udc e ud c udffc ","unknown","positive"
" nice t co ft jrn uwk ","unknown","positive"
" twit putus asa sejek kejadian sepatu oren senanyan ud d ude c ud d ude c ud d ude c kaborrrr t co afkk auxuc ","unknown","positive"
" wtf t co bjxwqj l ","unknown","positive"
" okay this is it wengermuststay wengerin t co rhyigts rn ","unknown","positive"
" ah","unknown","positive"
" i just dey observe t co sjoox eozh ","unknown","positive"
" your mcm is an arsenal fan ","unknown","positive"
